date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,2,2,0.0,0,0,0.0
2020-01-27,2,0,0.0,0,0,0.0
2020-01-28,2,0,0.0,0,0,0.0
2020-01-29,2,0,0.0,0,0,0.0
2020-01-30,2,0,0.0,0,0,0.0
2020-01-31,3,1,0.0,0,0,0.0
2020-02-01,3,0,0.0,0,0,0.0
2020-02-02,3,0,0.0,0,0,0.0
2020-02-03,6,3,0.0,0,0,0.0
2020-02-04,6,0,0.0,0,0,0.0
2020-02-05,6,0,0.0,0,0,0.0
2020-02-06,6,0,0.0,0,0,0.0
2020-02-07,6,0,0.0,0,0,0.0
2020-02-08,6,0,0.0,0,0,0.0
2020-02-09,6,0,0.0,0,0,0.0
2020-02-10,6,0,0.0,0,0,0.0
2020-02-11,7,1,0.0,0,0,0.0
2020-02-12,7,0,0.0,0,0,0.0
2020-02-13,8,1,0.0,0,0,0.0
2020-02-14,8,0,0.0,0,0,0.0
2020-02-15,8,0,0.0,0,0,0.0
2020-02-16,8,0,0.0,0,0,0.0
2020-02-17,8,0,0.0,0,0,0.0
2020-02-18,8,0,0.0,0,0,0.0
2020-02-19,8,0,0.0,0,0,0.0
2020-02-20,8,0,0.0,0,0,0.0
2020-02-21,10,2,0.0,0,0,0.0
2020-02-22,10,0,0.0,0,0,0.0
2020-02-23,10,0,0.0,0,0,0.0
2020-02-24,10,0,0.0,0,0,0.0
2020-02-25,10,0,0.0,0,0,0.0
2020-02-26,10,0,0.0,0,0,0.0
2020-02-27,11,1,0.0,0,0,0.0
2020-02-28,11,0,0.0,0,0,0.0
2020-02-29,12,1,0.0,0,0,0.0
2020-03-01,12,0,0.0,0,0,0.0
2020-03-02,21,9,0.0,0,0,0.0
2020-03-03,25,4,0.0,0,0,0.0
2020-03-04,35,10,0.0,1,1,2.86
2020-03-05,51,16,0.0,1,0,1.96
2020-03-06,59,8,0.0,1,0,1.69
2020-03-07,81,22,0.0,1,0,1.23
2020-03-08,95,14,0.0,1,0,1.05
2020-03-09,101,6,0.0,1,0,0.99
2020-03-10,144,43,0.0,2,1,1.39
2020-03-11,178,34,0.0,4,2,2.25
2020-03-12,221,43,0.0,4,0,1.81
2020-03-13,281,60,0.0,4,0,1.42
2020-03-14,371,90,0.0,3,-1,0.81
2020-03-15,373,2,0.0,5,2,1.34
2020-03-16,557,184,0.0,7,2,1.26
2020-03-17,700,143,0.0,12,5,1.71
2020-03-18,831,131,0.0,16,4,1.93
2020-03-19,1009,178,0.0,18,2,1.78
2020-03-20,1243,234,0.0,24,6,1.93
2020-03-21,1412,169,0.0,25,1,1.77
2020-03-22,1653,241,0.0,31,6,1.88
2020-03-23,2115,462,0.01,39,8,1.84
2020-03-24,2545,430,0.01,50,11,1.96
