date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,0,0,0.0,0,0,0.0
2020-01-25,0,0,0.0,0,0,0.0
2020-01-26,0,0,0.0,0,0,0.0
2020-01-27,0,0,0.0,0,0,0.0
2020-01-28,0,0,0.0,0,0,0.0
2020-01-29,0,0,0.0,0,0,0.0
2020-01-30,0,0,0.0,0,0,0.0
2020-01-31,0,0,0.0,0,0,0.0
2020-02-01,0,0,0.0,0,0,0.0
2020-02-02,0,0,0.0,0,0,0.0
2020-02-03,0,0,0.0,0,0,0.0
2020-02-04,0,0,0.0,0,0,0.0
2020-02-05,0,0,0.0,0,0,0.0
2020-02-06,0,0,0.0,0,0,0.0
2020-02-07,0,0,0.0,0,0,0.0
2020-02-08,0,0,0.0,0,0,0.0
2020-02-09,0,0,0.0,0,0,0.0
2020-02-10,0,0,0.0,0,0,0.0
2020-02-11,0,0,0.0,0,0,0.0
2020-02-12,0,0,0.0,0,0,0.0
2020-02-13,0,0,0.0,0,0,0.0
2020-02-14,0,0,0.0,0,0,0.0
2020-02-15,0,0,0.0,0,0,0.0
2020-02-16,0,0,0.0,0,0,0.0
2020-02-17,0,0,0.0,0,0,0.0
2020-02-18,0,0,0.0,0,0,0.0
2020-02-19,0,0,0.0,0,0,0.0
2020-02-20,0,0,0.0,0,0,0.0
2020-02-21,0,0,0.0,0,0,0.0
2020-02-22,0,0,0.0,0,0,0.0
2020-02-23,0,0,0.0,0,0,0.0
2020-02-24,0,0,0.0,0,0,0.0
2020-02-25,0,0,0.0,0,0,0.0
2020-02-26,0,0,0.0,0,0,0.0
2020-02-27,0,0,0.0,0,0,0.0
2020-02-28,0,0,0.0,0,0,0.0
2020-02-29,0,0,0.0,0,0,0.0
2020-03-01,0,0,0.0,0,0,0.0
2020-03-02,0,0,0.0,0,0,0.0
2020-03-03,0,0,0.0,0,0,0.0
2020-03-04,0,0,0.0,0,0,0.0
2020-03-05,0,0,0.0,0,0,0.0
2020-03-06,0,0,0.0,0,0,0.0
2020-03-07,0,0,0.0,0,0,0.0
2020-03-08,0,0,0.0,0,0,0.0
2020-03-09,0,0,0.0,0,0,0.0
2020-03-10,1,1,0.0,0,0,0.0
2020-03-11,1,0,0.0,0,0,0.0
2020-03-12,1,0,0.0,0,0,0.0
2020-03-13,3,2,0.0,0,0,0.0
2020-03-14,4,1,0.0,0,0,0.0
2020-03-15,4,0,0.0,0,0,0.0
2020-03-16,10,6,0.0,0,0,0.0
2020-03-17,19,9,0.0,0,0,0.0
2020-03-18,34,15,0.0,0,0,0.0
2020-03-19,44,10,0.0,0,0,0.0
2020-03-20,67,23,0.0,0,0,0.0
2020-03-21,85,18,0.01,0,0,0.0
2020-03-22,96,11,0.01,0,0,0.0
2020-03-23,175,79,0.01,0,0,0.0
2020-03-24,252,77,0.02,0,0,0.0
