date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
2020-01-23,0,0,0.0,0,0,0.0
2020-01-24,1,1,0.0,0,0,0.0
2020-01-25,1,0,0.0,0,0,0.0
2020-01-26,1,0,0.0,0,0,0.0
2020-01-27,1,0,0.0,0,0,0.0
2020-01-28,1,0,0.0,0,0,0.0
2020-01-29,1,0,0.0,0,0,0.0
2020-01-30,1,0,0.0,0,0,0.0
2020-01-31,2,1,0.0,0,0,0.0
2020-02-01,2,0,0.0,0,0,0.0
2020-02-02,2,0,0.0,0,0,0.0
2020-02-03,2,0,0.0,0,0,0.0
2020-02-04,2,0,0.0,0,0,0.0
2020-02-05,2,0,0.0,0,0,0.0
2020-02-06,2,0,0.0,0,0,0.0
2020-02-07,2,0,0.0,0,0,0.0
2020-02-08,2,0,0.0,0,0,0.0
2020-02-09,2,0,0.0,0,0,0.0
2020-02-10,2,0,0.0,0,0,0.0
2020-02-11,2,0,0.0,0,0,0.0
2020-02-12,2,0,0.0,0,0,0.0
2020-02-13,2,0,0.0,0,0,0.0
2020-02-14,2,0,0.0,0,0,0.0
2020-02-15,2,0,0.0,0,0,0.0
2020-02-16,2,0,0.0,0,0,0.0
2020-02-17,2,0,0.0,0,0,0.0
2020-02-18,2,0,0.0,0,0,0.0
2020-02-19,2,0,0.0,0,0,0.0
2020-02-20,2,0,0.0,0,0,0.0
2020-02-21,2,0,0.0,0,0,0.0
2020-02-22,2,0,0.0,0,0,0.0
2020-02-23,2,0,0.0,0,0,0.0
2020-02-24,2,0,0.0,0,0,0.0
2020-02-25,2,0,0.0,0,0,0.0
2020-02-26,2,0,0.0,0,0,0.0
2020-02-27,2,0,0.0,0,0,0.0
2020-02-28,2,0,0.0,0,0,0.0
2020-02-29,2,0,0.0,0,0,0.0
2020-03-01,3,1,0.0,0,0,0.0
2020-03-02,4,1,0.0,0,0,0.0
2020-03-03,4,0,0.0,0,0,0.0
2020-03-04,4,0,0.0,0,0,0.0
2020-03-05,5,1,0.0,0,0,0.0
2020-03-06,5,0,0.0,0,0,0.0
2020-03-07,6,1,0.0,0,0,0.0
2020-03-08,7,1,0.0,0,0,0.0
2020-03-09,7,0,0.0,0,0,0.0
2020-03-10,11,4,0.0,0,0,0.0
2020-03-11,22,11,0.0,0,0,0.0
2020-03-12,27,5,0.0,0,0,0.0
2020-03-13,40,13,0.0,0,0,0.0
2020-03-14,50,10,0.0,0,0,0.0
2020-03-15,50,0,0.0,0,0,0.0
2020-03-16,62,12,0.0,0,0,0.0
2020-03-17,107,45,0.0,1,1,0.93
2020-03-18,178,71,0.0,1,0,0.56
2020-03-19,278,100,0.01,2,1,0.72
2020-03-20,278,0,0.01,2,0,0.72
2020-03-21,548,270,0.01,3,1,0.55
2020-03-22,805,257,0.02,4,1,0.5
2020-03-23,922,117,0.02,9,5,0.98
2020-03-24,1194,272,0.02,9,0,0.75
2020-03-25,1418,224,0.03,14,5,0.99
2020-03-26,1418,0,0.03,18,4,1.27
2020-03-27,2239,821,0.04,20,2,0.89
2020-03-28,2613,374,0.05,28,8,1.07
2020-03-29,3445,832,0.07,40,12,1.16
2020-03-30,3727,282,0.07,44,4,1.18
2020-03-31,4496,769,0.09,61,17,1.36
2020-04-01,5152,656,0.1,95,34,1.84
