date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-01,29420.6,28870.8,28211.7,27820.3,27629.0,27787.7,28374.1,29050.5,29820.2,30848.4,31500.0,31980.2,32272.5,32330.8,32273.8,32288.2,32320.7,33298.3,35091.4,34806.3,34061.4,33161.3,31712.0,30108.5
2017-01-02,28505.9,27488.6,26919.2,26832.6,27194.7,28087.6,29421.9,30365.5,31323.6,32279.6,33239.7,34064.7,34566.9,35029.4,35405.0,35585.9,35508.2,35890.8,37412.1,36921.3,35943.6,34508.2,32283.3,29898.3
2017-01-03,28269.6,27279.3,26878.3,26976.5,27688.0,29922.1,33522.9,35372.4,35502.1,35618.1,35977.5,36312.6,36735.0,37265.9,37603.1,37797.3,38191.0,39279.6,41176.0,40990.6,40316.6,38939.4,36745.9,34549.0
2017-01-04,33266.9,32946.9,33018.7,33664.3,35119.0,37996.6,42548.2,44350.5,44065.9,44117.4,43758.7,43161.1,42162.5,41511.9,40340.9,39313.5,39531.3,41796.6,44702.9,45072.5,44761.4,43392.5,40866.4,38519.1
2017-01-05,37044.8,36207.1,35702.9,35733.6,36557.5,38938.5,42680.9,43845.7,42887.2,42542.7,42291.9,41778.8,41227.3,40879.5,40604.6,40801.6,41954.4,44206.9,46611.6,47134.3,47263.5,46366.5,44434.5,42669.4
2017-01-06,41826.7,41670.6,41802.0,42386.2,43963.1,47052.8,51436.5,53627.9,53776.8,54515.1,55019.7,54917.3,54696.8,54746.0,54832.3,55113.8,56041.6,57839.0,59636.1,59381.9,58929.5,57944.2,56155.3,54688.7
2017-01-07,53749.2,53282.3,53243.3,53542.5,54276.0,55579.8,57198.6,58634.6,58792.7,57516.2,55275.5,52469.6,49373.7,46429.5,44102.6,42671.5,42560.1,45022.6,48892.8,50367.6,51171.7,51176.3,50491.3,49682.0
2017-01-08,48965.9,48721.3,48726.5,49004.5,49732.0,50835.3,52316.2,53445.4,53039.4,51089.4,48726.2,46218.7,43764.4,41553.6,39946.2,38987.1,39207.3,41472.7,44545.7,45398.1,45276.3,44163.8,42004.0,39737.0
2017-01-09,38281.2,37553.4,37387.3,37727.4,38965.7,41751.5,45626.9,46506.7,44910.8,43016.1,40901.1,39167.3,37782.7,36738.1,35856.4,35294.6,35291.0,36373.1,38552.1,38387.6,37753.6,36229.5,33780.9,31376.1
2017-01-10,29829.5,28864.0,28435.1,28426.3,29110.3,31287.9,35096.8,36248.9,35656.3,35461.1,35506.9,35463.7,35511.6,35603.8,35658.3,35622.0,35711.9,36319.5,38037.8,37779.1,36925.9,35450.2,33186.2,30630.0
2017-01-11,28979.1,28106.4,27633.7,27485.3,28056.3,30180.4,33929.1,35190.7,34871.3,35317.0,35792.5,36111.1,36277.8,36746.0,36978.7,36954.7,37026.8,37427.7,38961.2,38953.4,38174.1,36547.0,34058.2,31401.4
2017-01-12,29479.4,28408.9,27706.6,27547.8,27948.6,29756.1,33301.0,34760.7,34794.2,35768.1,36861.7,37599.0,38001.5,38387.5,38414.6,38203.0,37949.1,38088.5,39525.2,39207.5,38474.5,36929.1,34563.0,32112.0
2017-01-13,30309.6,29266.1,28714.7,28616.9,29212.2,31251.6,34944.8,36677.9,36773.9,37638.3,38581.0,39238.5,39578.8,39985.0,40002.5,39842.0,39880.2,40309.3,41378.2,40785.9,40022.2,38736.0,37149.0,35042.3
2017-01-14,33224.8,32360.6,31658.5,31420.1,31590.3,32248.0,33642.1,35163.1,36750.9,38382.8,39389.3,39706.9,39546.2,39218.6,38890.8,38554.1,38160.0,38629.9,39765.1,39268.2,38398.5,37248.6,35709.0,33855.6
2017-01-15,32351.2,31160.4,30478.2,30091.3,30128.6,30552.7,31451.4,32496.6,33669.3,35038.4,35728.1,36074.0,36312.0,36246.4,35915.6,35561.5,35024.1,35722.3,36388.9,36548.8,35887.6,34587.4,32835.3,30912.9
2017-01-16,29276.8,28313.8,27805.2,27793.0,28492.4,30208.0,32719.4,34347.9,35179.8,36167.3,36984.5,37461.7,37494.9,37354.7,37094.8,36886.0,36732.5,37341.8,39165.6,39014.9,38286.8,36767.9,34385.4,31824.3
2017-01-17,30131.5,29304.6,28905.3,28987.9,29923.0,32292.8,36419.4,38275.3,38025.5,38155.3,38310.5,38431.3,38290.0,38243.9,38066.7,38013.0,38472.3,39980.8,41506.1,41201.9,40480.7,38803.5,36158.4,33675.5
2017-01-18,31943.3,31127.0,30717.8,30700.2,31433.0,33838.5,37619.7,39092.2,38856.2,38889.3,39132.2,39085.3,38742.3,38267.1,37674.8,37310.9,37410.2,38406.2,39983.4,39606.8,38851.7,37242.5,34757.2,32178.1
2017-01-19,30509.0,29730.6,29321.8,29421.3,30100.7,32550.1,36451.4,38112.6,37757.9,37744.1,37604.2,36892.5,36001.3,35515.6,34993.4,34695.7,34705.4,35264.4,37170.5,37372.3,36900.7,35513.0,33300.2,31038.9
2017-01-20,29574.3,28904.1,28631.2,28650.0,29563.8,31889.1,35659.8,37224.5,36751.8,36573.5,36259.6,35962.2,35997.4,36106.1,35961.7,35634.8,35433.1,35528.1,36305.2,35819.8,35013.8,33978.5,32404.8,30593.0
2017-01-21,29059.7,28210.2,27782.9,27632.1,27914.3,28798.7,30131.1,31489.1,32723.7,33819.2,34701.2,34955.4,34849.1,34894.6,35000.0,35057.7,34958.9,35170.4,36030.9,35466.8,34679.1,33667.3,32260.0,30456.0
2017-01-22,28941.0,27917.6,27351.5,27187.3,27362.9,28003.6,29183.3,30333.8,31750.1,32857.3,33256.7,33452.1,33527.1,33181.2,32599.3,32256.6,32241.1,33064.1,35426.8,35906.9,35475.1,34348.1,32361.4,30348.0
2017-01-23,29078.5,28555.2,28562.8,29052.7,30379.6,33411.9,38105.1,39795.9,38693.7,37426.6,36444.8,35575.6,34956.6,34752.2,34536.7,34462.1,34597.4,34888.4,36780.1,37105.2,36551.3,35111.9,32841.8,30508.6
2017-01-24,29057.7,28425.3,28190.2,28353.8,29279.2,31868.6,35949.6,37042.3,36068.6,35631.4,35504.1,35542.7,35731.0,36202.1,36581.3,36758.3,36733.7,36818.6,38380.9,38343.3,37521.5,35805.0,33294.2,30676.5
2017-01-25,28851.1,27782.8,27248.1,27055.6,27757.0,30033.6,34127.3,35841.2,35784.1,36004.0,36090.6,36089.7,35971.4,36005.4,35856.1,35699.9,35886.8,36784.4,38897.0,38921.8,38409.4,37131.4,34931.5,32866.2
2017-01-26,31722.9,31336.2,31337.1,31846.1,33322.9,36519.9,41297.0,42998.9,41853.4,40857.0,39844.0,38561.4,37221.0,36235.4,35329.4,34774.8,34874.7,35956.1,39058.5,40078.7,40267.7,39500.9,37673.7,35798.3
2017-01-27,34793.3,34489.7,34631.6,35141.9,36491.8,39451.7,44060.1,45475.9,44163.3,42824.8,41431.3,39740.8,38276.4,37391.1,36791.5,36566.1,37096.5,38366.7,40542.1,40754.4,40406.5,39595.8,37991.4,36316.3
2017-01-28,35236.4,34701.4,34542.3,34709.2,35226.5,36390.0,38241.1,40020.2,41046.3,41226.7,40340.6,38793.0,37009.7,35451.3,34289.8,33561.9,33412.2,34256.8,36951.4,37921.5,38172.1,38040.2,37324.6,36384.3
2017-01-29,35584.8,35225.2,35198.8,35416.8,35835.5,36838.9,38405.9,39689.1,39950.3,38990.1,37264.0,35466.6,34147.1,33078.9,32229.4,31778.6,31795.1,32655.8,35296.6,36200.9,36038.8,35253.9,33487.0,31662.7
2017-01-30,30628.0,30317.2,30419.1,31033.7,32529.4,35816.5,40569.2,41917.4,40238.5,38568.0,37245.7,36074.2,35309.3,35040.9,34921.6,34822.5,34892.9,35005.2,36612.7,36906.9,36271.5,34803.0,32511.5,30290.7
