date,completely_home_device_count_percentage,median_home_dwell_time_percentage,part_time_work_behavior_devices_percentage,full_time_work_behavior_devices_percentage,completely_home_device_count,device_count,part_time_work_behavior_devices,full_time_work_behavior_devices
2020-01-01,35.49254229603111,57.08333333333333,3.1918524552998653,2.010229274259648,142466.0,401396.0,12812.0,8069.0
2020-01-02,28.18057699006145,49.09722222222222,9.472766241988015,8.39526387112685,110839.0,393316.0,37258.0,33020.0
2020-01-03,28.401276826811333,47.11805555555556,9.862675145013219,8.105008348092625,111930.0,394101.0,38869.0,31942.0
2020-01-04,34.562808151003956,55.625,4.821880039402178,2.722402401166634,134384.0,388810.0,18748.0,10585.0
2020-01-05,37.86957097188003,59.86111111111111,4.674869173912158,2.3530879029138076,148785.0,392887.0,18367.0,9245.0
2020-01-06,26.68720823586393,48.47222222222222,10.456105277259658,9.650501344820125,103588.0,388155.0,40586.0,37459.0
2020-01-07,26.515188604617006,48.40277777777778,11.027166588934955,10.32629281578615,102902.0,388086.0,42795.0,40075.0
2020-01-08,27.012532208641222,48.47222222222222,12.2029793156958,11.34818884552172,103052.0,381496.0,46554.0,43293.0
2020-01-09,25.13387608246505,47.77777777777778,11.121207280764004,10.262043610215695,95982.0,381882.0,42470.0,39189.0
2020-01-10,24.291115563395834,45.416666666666664,11.642547168054236,9.211972211357583,91295.0,375836.0,43757.0,34622.0
2020-01-11,30.25313589883189,53.05555555555556,5.58667047592352,2.8499350449833702,112247.0,371025.0,20728.0,10574.0
2020-01-12,32.938488941428304,58.40277777777778,4.9505978577761445,2.6142798948856605,123714.0,375590.0,18594.0,9819.0
2020-01-13,26.054982097440675,48.125,11.993335503340525,11.163031904622667,94454.0,362517.0,43478.0,40468.0
2020-01-14,23.99462047196315,49.72222222222222,11.483717008819042,11.103590922484036,82249.0,342780.0,39364.0,38061.0
2020-01-15,23.790208803611737,48.888888888888886,13.138109010534235,11.625576091045899,80940.0,340223.0,44699.0,39553.0
2020-01-16,23.099169482389897,49.09722222222222,11.693896593892537,10.825127649339585,79712.0,345085.0,40354.0,37356.0
2020-01-17,24.36750576174776,45.90277777777778,12.048759241151139,9.928955270376685,84478.0,346682.0,41771.0,34422.0
2020-01-18,35.35444702173044,57.08333333333333,6.118396707492081,3.4880607477338432,117515.0,332390.0,20337.0,11594.0
2020-01-19,34.21073615011828,58.611111111111114,5.640362301506439,2.84336395826504,115842.0,338612.0,19099.0,9628.0
2020-01-20,33.37833778917098,56.875,5.582535099014759,3.9198484519557613,112239.0,336262.0,18772.0,13181.0
2020-01-21,25.08366765751346,49.861111111111114,10.391419128193402,9.93232348128725,84469.0,336748.0,34993.0,33447.0
2020-01-22,22.510823758654684,48.888888888888886,9.542779068493783,8.71925101319605,78095.0,346921.0,33106.0,30249.0
2020-01-23,24.197464495852927,49.09722222222222,10.590101372905787,9.527635341099742,81921.0,338551.0,35853.0,32256.0
2020-01-24,22.791591922543624,47.5,10.005779879431117,8.163106400692389,76105.0,333916.0,33411.0,27258.0
2020-01-25,32.86849168978824,56.458333333333336,5.724812541987884,3.2496738878294638,109104.0,331940.0,19003.0,10787.0
2020-01-26,31.857329720356827,59.86111111111111,4.949415308024372,2.50552066435267,105457.0,331028.0,16384.0,8294.0
2020-01-27,25.08853051311807,50.416666666666664,10.399344395659613,9.716223814708028,83883.0,334347.0,34770.0,32486.0
2020-01-28,23.84463090411992,49.44444444444444,12.640708965777318,11.625341755444518,75876.0,318209.0,40224.0,36993.0
2020-01-29,22.851796034276603,49.02777777777778,13.028410223196493,11.851086090075727,73389.0,321151.0,41841.0,38060.0
2020-01-30,22.013320730386667,48.95833333333333,11.848439133401357,10.997114259065672,70333.0,319501.0,37856.0,35136.0
2020-01-31,20.378600975146995,46.666666666666664,12.100323714305954,9.691100782643245,66163.0,324668.0,39286.0,31464.0
2020-02-01,33.09734722600026,55.55555555555556,5.68826653105153,2.7795583834991073,139924.0,422764.0,24048.0,11751.0
2020-02-02,36.87804854687429,60.138888888888886,4.7423835715500084,2.4136948447979845,154009.0,417616.0,19805.0,10080.0
2020-02-03,26.866335960075364,46.94444444444444,11.131482391142415,9.466649139678564,116497.0,433616.0,48268.0,41049.0
2020-02-04,25.62014704871848,48.333333333333336,11.152585132176968,10.091439173071826,104398.0,407483.0,45445.0,41121.0
2020-02-05,25.47006185630305,49.72222222222222,11.266391408676254,9.982962655983792,99564.0,390905.0,44041.0,39024.0
2020-02-06,26.18676834536775,49.02777777777778,11.533158148271811,10.719082852678879,102743.0,392346.0,45250.0,42056.0
2020-02-07,25.033976893237053,45.13888888888889,10.556478384754586,8.29036194984045,101125.0,403950.0,42643.0,33489.0
2020-02-08,30.968319461531124,52.15277777777778,5.986357288382662,2.909287463037741,126618.0,408862.0,24476.0,11895.0
2020-02-09,34.16927820905575,58.47222222222223,4.803311276585585,2.2924609148230894,135964.0,397912.0,19113.0,9122.0
2020-02-10,26.035364719968463,47.986111111111114,10.62280065609197,10.289400805026794,106984.0,410917.0,43651.0,42281.0
2020-02-11,25.419412590866298,49.51388888888889,10.98626909285468,10.722351694370277,98820.0,388757.0,42710.0,41684.0
2020-02-12,24.7292908109767,48.75,11.541137055318277,10.299480831692284,96694.0,391009.0,45127.0,40272.0
2020-02-13,25.65522542437147,44.93055555555556,10.607158793987995,9.636798378089766,99463.0,387690.0,41123.0,37361.0
2020-02-14,22.994089939446763,42.15277777777778,12.108226470722737,9.326705026914045,85478.0,371738.0,45011.0,34671.0
2020-02-15,30.269490026692818,50.06944444444444,5.2639118062690935,2.797649709794804,109884.0,363018.0,19109.0,10156.0
2020-02-16,30.960379899355022,53.125,5.290523779148062,2.6910482670635765,109205.0,352724.0,18661.0,9492.0
2020-02-17,29.386214548945883,51.59722222222223,5.352512691376763,3.4664849916923943,102227.0,347873.0,18620.0,12059.0
2020-02-18,26.16694667284747,49.51388888888889,8.018117236471863,5.8635951612569865,88623.0,338682.0,27156.0,19859.0
2020-02-19,27.017813632432002,46.59722222222222,8.821450982830846,6.510653694166332,95582.0,353773.0,31208.0,23033.0
2020-02-20,25.889066952058098,45.48611111111111,8.73082641231523,6.465439961604555,93859.0,362542.0,31653.0,23440.0
2020-02-21,25.185168349068267,45.69444444444444,7.834602829162132,5.338416998837992,88646.0,351976.0,27576.0,18790.0
2020-02-22,28.702461167458686,50.138888888888886,5.868501312149798,3.1060358890701467,101169.0,352474.0,20685.0,10948.0
