"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/21/2021 00:00:00","EST","CAPITL",61757,1379.4519
"02/21/2021 00:00:00","EST","CENTRL",61754,1795.171
"02/21/2021 00:00:00","EST","DUNWOD",61760,595.5149
"02/21/2021 00:00:00","EST","GENESE",61753,1042.243
"02/21/2021 00:00:00","EST","HUD VL",61758,1045.8164
"02/21/2021 00:00:00","EST","LONGIL",61762,2087.2618
"02/21/2021 00:00:00","EST","MHK VL",61756,944.081
"02/21/2021 00:00:00","EST","MILLWD",61759,360.7135
"02/21/2021 00:00:00","EST","N.Y.C.",61761,5110.1718
"02/21/2021 00:00:00","EST","NORTH",61755,659.6314
"02/21/2021 00:00:00","EST","WEST",61752,1551.8067
"02/21/2021 01:00:00","EST","CAPITL",61757,1363.6855
"02/21/2021 01:00:00","EST","CENTRL",61754,1758.3185
"02/21/2021 01:00:00","EST","DUNWOD",61760,577.0649
"02/21/2021 01:00:00","EST","GENESE",61753,1021.0104
"02/21/2021 01:00:00","EST","HUD VL",61758,1014.8019
"02/21/2021 01:00:00","EST","LONGIL",61762,2006.9235
"02/21/2021 01:00:00","EST","MHK VL",61756,915.982
"02/21/2021 01:00:00","EST","MILLWD",61759,355.3722
"02/21/2021 01:00:00","EST","N.Y.C.",61761,4926.8187
"02/21/2021 01:00:00","EST","NORTH",61755,651.5826
"02/21/2021 01:00:00","EST","WEST",61752,1527.8012
"02/21/2021 02:00:00","EST","CAPITL",61757,1352.2365
"02/21/2021 02:00:00","EST","CENTRL",61754,1745.6827
"02/21/2021 02:00:00","EST","DUNWOD",61760,563.7998
"02/21/2021 02:00:00","EST","GENESE",61753,1004.8995
"02/21/2021 02:00:00","EST","HUD VL",61758,999.5672
"02/21/2021 02:00:00","EST","LONGIL",61762,1961.104
"02/21/2021 02:00:00","EST","MHK VL",61756,905.335
"02/21/2021 02:00:00","EST","MILLWD",61759,355.3502
"02/21/2021 02:00:00","EST","N.Y.C.",61761,4796.8013
"02/21/2021 02:00:00","EST","NORTH",61755,648.6343
"02/21/2021 02:00:00","EST","WEST",61752,1503.7417
"02/21/2021 03:00:00","EST","CAPITL",61757,1355.8478
"02/21/2021 03:00:00","EST","CENTRL",61754,1739.2555
"02/21/2021 03:00:00","EST","DUNWOD",61760,560.6702
"02/21/2021 03:00:00","EST","GENESE",61753,1002.7902
"02/21/2021 03:00:00","EST","HUD VL",61758,996.1627
"02/21/2021 03:00:00","EST","LONGIL",61762,1938.2357
"02/21/2021 03:00:00","EST","MHK VL",61756,899.0224
"02/21/2021 03:00:00","EST","MILLWD",61759,351.4087
"02/21/2021 03:00:00","EST","N.Y.C.",61761,4717.4686
"02/21/2021 03:00:00","EST","NORTH",61755,646.8154
"02/21/2021 03:00:00","EST","WEST",61752,1490.7814
"02/21/2021 04:00:00","EST","CAPITL",61757,1366.6279
"02/21/2021 04:00:00","EST","CENTRL",61754,1753.1362
"02/21/2021 04:00:00","EST","DUNWOD",61760,565.1934
"02/21/2021 04:00:00","EST","GENESE",61753,1009.6773
"02/21/2021 04:00:00","EST","HUD VL",61758,1007.3669
"02/21/2021 04:00:00","EST","LONGIL",61762,1943.9016
"02/21/2021 04:00:00","EST","MHK VL",61756,913.0044
"02/21/2021 04:00:00","EST","MILLWD",61759,342.7807
"02/21/2021 04:00:00","EST","N.Y.C.",61761,4687.9254
"02/21/2021 04:00:00","EST","NORTH",61755,650.4929
